TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,3642,19028,960,5858,0.7913950454603661,0.38336842101227697
0.35328298736360164,935,19846,142,8565,0.8681522740314277,0.09842105262121884
0.5307237540651162,429,19959,29,9071,0.9366812206622681,0.045157894732088644
0.6594798177629646,284,19977,11,9216,0.9627118611433496,0.029894736838958446
0.7529088772014396,225,19981,7,9275,0.9698275820266052,0.023684210523822715
0.8207036582537898,201,19983,5,9299,0.9757281506032615,0.02115789473461496
0.8698974783089168,183,19983,5,9317,0.9734042501414668,0.019263157892709142
0.9055939123714077,165,19984,4,9335,0.976331355169637,0.017368421050803322
0.9314962595229367,152,19984,4,9348,0.9743589681130835,0.01599999999831579
0.9502917388356261,144,19986,2,9356,0.9863013631075249,0.015157894735246537
0.963930272846737,134,19986,2,9366,0.9852941104022492,0.014105263156409972
0.9738267807717386,123,19986,2,9377,0.983999992128,0.01294736841968975
0.9810079682094667,112,19986,2,9388,0.982456131732841,0.011789473682969528
0.9862188419243761,95,19986,2,9405,0.9793814332022532,0.009999999998947368
0.99,83,19986,2,9417,0.976470576747405,0.00873684210434349
