TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,3857,15221,4767,5643,0.44724025968839975,0.40599999995726316
0.35328298736360164,639,19389,599,8861,0.5161550884360621,0.06726315788765651
0.5307237540651162,151,19884,104,9349,0.5921568604229143,0.015894736840432133
0.6594798177629646,57,19959,29,9443,0.6627906899675501,0.005999999999368421
0.7529088772014396,26,19979,9,9474,0.7428571216326537,0.002736842104975069
0.8207036582537898,9,19986,2,9491,0.8181817438016598,0.0009473684209529086
0.8698974783089168,4,19988,0,9496,0.9999997500000625,0.000421052631534626
0.9055939123714077,2,19988,0,9498,0.99999950000025,0.000210526315767313
0.9314962595229367,1,19988,0,9499,0.9999990000010001,0.0001052631578836565
0.9502917388356261,0,19988,0,9500,0.0,0.0
0.963930272846737,0,19988,0,9500,0.0,0.0
0.9738267807717386,0,19988,0,9500,0.0,0.0
0.9810079682094667,0,19988,0,9500,0.0,0.0
0.9862188419243761,0,19988,0,9500,0.0,0.0
0.99,0,19988,0,9500,0.0,0.0
